image,channel,param,quality,repeat,seed,psnr,ssim,compression_ratio,time_source_enc,time_channel_enc,time_interleave,time_transmission,time_channel_dec,time_source_dec,actual_error_rate,viterbi_ber,source_bits,encoded_bits
kodim01.png,bsc,0.0,10,1,42,24.893851448135905,0.7010758771727091,24.769511811023623,1.0529218,0.03656159999999997,0.04752029999999996,0.0012676000000000354,3.2500277000000004,1.4467190999999993,0.0,0.0,381000,762012
kodim02.png,bsc,0.0,10,1,42,28.652906118966683,0.7221862418215163,26.84434735117422,2.4839119999999992,0.0513211000000009,0.07009850000000029,0.0014631000000004946,3.7863769000000005,0.7320561000000012,0.0,0.0,351552,703116
kodim03.png,bsc,0.0,10,1,42,28.870176990844474,0.7936954951052768,35.09186101856259,1.0623711999999994,0.024539700000000053,0.03427909999999912,0.0008756000000005315,1.7565681000000009,0.5930205000000015,0.0,0.0,268928,537868
kodim04.png,bsc,0.0,10,1,42,28.204234286080453,0.7350246253690437,31.3344489600765,1.0716599000000002,0.02887270000000086,0.03586340000000021,0.0009375000000027001,2.060489999999998,0.6140848999999982,0.0,0.0,301176,602364
kodim05.png,bsc,0.0,10,1,42,24.251831107681777,0.7258669187237853,21.25836622154944,1.0889738000000015,0.04289499999999791,0.054943899999997825,0.0014251999999999043,3.1274900999999993,0.695931299999998,0.0,0.0,443928,887868
kodim06.png,bsc,0.0,10,1,42,25.807287258375162,0.7255637257591626,27.532920994281714,1.0530088999999982,0.03567250000000044,0.04198949999999968,0.0010607000000000255,2.3409838,0.6451320999999979,0.0,0.0,342760,685532
kodim07.png,bsc,0.0,10,1,42,28.13511000203553,0.827992360500715,31.026222350806133,1.0919265000000031,0.030619099999999122,0.04014229999999941,0.0009954000000007568,2.014645399999999,0.5761985000000038,0.0,0.0,304168,608348
kodim08.png,bsc,0.0,10,1,42,23.81998289201199,0.7567849613314525,21.631025946639774,1.0647994999999995,0.04240519999999748,0.055418699999997045,0.0013681000000005383,2.9747857999999994,0.7113353000000018,0.0,0.0,436280,872572
kodim09.png,bsc,0.0,10,1,42,28.770789308350196,0.8200150086871707,36.037392313802165,1.032277900000004,0.024875500000000272,0.03173749999999842,0.0009117999999972426,1.7155271000000099,0.5615877999999981,0.0,0.0,261872,523756
kodim10.png,bsc,0.0,10,1,42,28.39083671060816,0.7861407169193572,35.847935089798526,1.031185800000003,0.025023400000002027,0.033587099999998316,0.0008645999999998821,1.7146040999999954,0.5690714999999997,0.0,0.0,263256,526524
