image,channel,param,quality,repeat,seed,psnr,ssim,compression_ratio,time_source_enc,time_channel_enc,time_interleave,time_transmission,time_channel_dec,time_source_dec,actual_error_rate,viterbi_ber,source_bits,encoded_bits
synthetic_geometric,bsc,0.0,50,1,42,35.69254752126956,0.9641260722097083,24.736789129340714,0.17382659999999994,0.005784000000000233,0.007465500000000347,0.0002770000000005268,0.40443050000000014,0.19363260000000082,0.0,0.0,63584,127180
synthetic_geometric,bsc,0.0,50,1,123,35.69254752126956,0.9641260722097083,24.736789129340714,0.17138650000000055,0.005376899999999907,0.007134300000000593,0.00026240000000044006,0.41631729999999934,0.1922895000000011,0.0,0.0,63584,127180
synthetic_geometric,bsc,0.0,50,1,456,35.69254752126956,0.9641260722097083,24.736789129340714,0.17199130000000018,0.005342999999999876,0.0071238000000004575,0.0002776999999998253,0.40036240000000056,0.2037500000000012,0.0,0.0,63584,127180
synthetic_gradient,bsc,0.0,50,1,42,43.76490571708616,0.9724601105959613,23.982434740180533,0.17453489999999938,0.006711599999999152,0.008182399999999035,0.00025519999999978893,0.4149548999999997,0.21816630000000004,0.0,0.0,65584,131180
synthetic_gradient,bsc,0.0,50,1,123,43.76490571708616,0.9724601105959613,23.982434740180533,0.17444810000000288,0.006009999999999849,0.008490800000000576,0.0002613000000017962,0.4177525999999965,0.21932269999999932,0.0,0.0,65584,131180
synthetic_gradient,bsc,0.0,50,1,456,43.76490571708616,0.9724601105959613,23.982434740180533,0.17304269999999988,0.006018099999998583,0.007493900000000053,0.00023960000000045056,0.42790409999999923,0.21591199999999944,0.0,0.0,65584,131180
synthetic_noise,bsc,0.0,50,1,42,16.768891644360977,0.8766829435621992,2.0039343192914147,0.2898715000000003,0.07854479999999953,0.09663679999999886,0.0024762000000002615,5.3837224999999975,0.3455003000000012,0.0,0.0,784888,1569788
synthetic_noise,bsc,0.0,50,1,123,16.768891644360977,0.8766829435621992,2.0039343192914147,0.2866775999999973,0.07750620000000197,0.09792970000000167,0.002301700000000295,5.337820200000003,0.3564612000000018,0.0,0.0,784888,1569788
synthetic_noise,bsc,0.0,50,1,456,16.768891644360977,0.8766829435621992,2.0039343192914147,0.2932233999999987,0.07947519999999741,0.1001125000000016,0.002376699999999232,5.348729200000001,0.33842840000000507,0.0,0.0,784888,1569788
synthetic_nature,bsc,0.0,90,1,42,48.868770471478,0.99478220476724,8.404565468302483,0.1875727999999981,0.01845369999999491,0.02334740000000579,0.0006648000000026855,1.193980500000002,0.4929010999999974,0.0,0.0,187144,374300
synthetic_nature,bsc,0.0,90,1,123,48.868770471478,0.99478220476724,8.404565468302483,0.1914757999999992,0.01810729999999694,0.02248209999999773,0.000641799999996806,1.2016703999999976,0.4825056000000032,0.0,0.0,187144,374300
synthetic_nature,bsc,0.0,90,1,456,48.868770471478,0.99478220476724,8.404565468302483,0.189068000000006,0.01848489999999714,0.02228939999999824,0.0005601000000012846,1.1986167000000023,0.48046159999999816,0.0,0.0,187144,374300
synthetic_geometric,bsc,0.0,90,1,42,45.280790064546835,0.9927041627282011,14.708461135632527,0.17703259999999688,0.009435499999995045,0.012494500000002517,0.0003570999999951141,0.6868651000000057,0.3967275999999984,0.0,0.0,106936,213884
synthetic_geometric,bsc,0.0,90,1,123,45.280790064546835,0.9927041627282011,14.708461135632527,0.18144990000000405,0.010035599999994815,0.012563200000002439,0.0005115999999958376,0.6860380999999975,0.3916193000000021,0.0,0.0,106936,213884
synthetic_geometric,bsc,0.0,90,1,456,45.280790064546835,0.9927041627282011,14.708461135632527,0.17361480000000284,0.010321500000003425,0.01321460000000485,0.00044880000000091513,0.702992100000003,0.39645050000000026,0.0,0.0,106936,213884
synthetic_gradient,bsc,0.0,90,1,42,55.20071739817696,0.9973214293602456,16.096937940068774,0.17582890000000617,0.00943420000000117,0.011379499999996767,0.0003335000000035393,0.6394812000000059,0.4410960000000017,0.0,0.0,97712,195436
synthetic_gradient,bsc,0.0,90,1,123,55.20071739817696,0.9973214293602456,16.096937940068774,0.1809324000000032,0.009294300000000533,0.011694099999999708,0.00032889999999952124,0.6127842000000001,0.436751000000001,0.0,0.0,97712,195436
synthetic_gradient,bsc,0.0,90,1,456,55.20071739817696,0.9973214293602456,16.096937940068774,0.17768009999999634,0.008942900000000975,0.011570200000001307,0.0004029999999985989,0.6171476000000027,0.4469628999999955,0.0,0.0,97712,195436
synthetic_noise,bsc,0.0,90,1,42,29.989860150824082,0.9937565187221153,0.9429188048534842,0.4184818999999962,0.16898159999999507,0.20336669999999657,0.005224499999997079,11.674891099999996,0.7767823999999948,0.0,0.0,1668080,3336172
synthetic_noise,bsc,0.0,90,1,123,29.989860150824082,0.9937565187221153,0.9429188048534842,0.4182301000000024,0.16707669999999553,0.2084912999999915,0.005809299999995687,11.626978199999996,0.7732523999999898,0.0,0.0,1668080,3336172
synthetic_noise,bsc,0.0,90,1,456,29.989860150824082,0.9937565187221153,0.9429188048534842,0.40738199999999836,0.16521070000000293,0.21686439999999152,0.007635100000001671,11.4793703,0.7674681999999962,0.0,0.0,1668080,3336172
synthetic_nature,bsc,0.01,10,1,42,12.35826857801441,0.4459422562421489,28.887452248016455,0.17098550000000046,0.004796000000013123,0.0064176000000060185,0.00622159999998928,0.3399622000000022,0.08268909999999607,0.009913853236607142,0.010523802527181898,54448,108908
synthetic_nature,bsc,0.01,10,1,123,12.472585387873124,0.4623009740886371,28.887452248016455,0.1694572999999906,0.004625799999999458,0.005950799999993706,0.0054069000000112055,0.33844210000000885,0.08156879999999944,0.009608677455357142,0.00999118424919189,54448,108908
synthetic_nature,bsc,0.01,10,1,456,12.395856634079493,0.45680398810599937,28.887452248016455,0.1696574000000055,0.004945899999995618,0.006168299999998794,0.006043200000007687,0.334051400000007,0.08533599999999808,0.010227748325892858,0.01045033793711431,54448,108908
synthetic_geometric,bsc,0.01,10,1,42,12.85483546136007,0.554871929689574,32.88859150217464,0.16859909999999445,0.00428850000000125,0.004755000000002951,0.005093299999998635,0.29603350000000717,0.08449099999999987,0.010060628255208334,0.011186851789896287,47824,95660
