image,channel,param,quality,repeat,psnr,ssim,compression_ratio,time_source_enc,time_channel_enc,time_interleave,time_transmission,time_channel_dec,time_source_dec,actual_error_rate,viterbi_ber,source_bits,encoded_bits
synthetic_nature,bsc,0.0,10,1,30.44135660687026,0.8286489518103416,28.887452248016455,0.21637059999999997,0.005307700000000026,0.007480500000000001,0.0002644000000000535,0.7392566999999999,0.09940569999999993,0.0,0.0,54448,108908
synthetic_geometric,bsc,0.0,10,1,29.808862056326674,0.9043158416759978,32.88859150217464,0.2066747,0.004370200000000102,0.00541019999999981,0.00014179999999996973,0.35898700000000017,0.11597280000000021,0.0,0.0,47824,95660
synthetic_gradient,bsc,0.0,10,1,33.21846376558947,0.8600738537837967,35.08351177730193,0.20591170000000014,0.004977200000000348,0.005927900000000097,0.00014429999999965304,0.3401538999999998,0.16872820000000033,0.0,0.0,44832,89676
synthetic_noise,bsc,0.0,10,1,11.184136235535199,0.3643531495829448,10.870728740462235,0.5337679999999998,0.024138900000000074,0.03972299999999995,0.0007424999999998683,1.9327301999999995,0.4506869999999994,0.0,0.0,144688,289388
synthetic_nature,bsc,0.0,50,1,40.95311169419615,0.974870048636307,15.718580108730412,0.5607479999999994,0.016910299999999268,0.02408630000000045,0.0004299999999997084,1.2781978999999994,0.5003188000000005,0.0,0.0,100064,200140
synthetic_geometric,bsc,0.0,50,1,35.69254752126956,0.9641260722097083,24.736789129340714,0.5411248000000004,0.010617900000001512,0.014122000000000412,0.0005251000000008332,0.7610006000000009,0.4754345999999998,0.0,0.0,63584,127180
synthetic_gradient,bsc,0.0,50,1,43.76490571708616,0.9724601105959613,23.982434740180533,0.5315829000000001,0.012163000000001034,0.019011700000000076,0.0003176000000006951,0.868027399999999,0.5309773,0.0,0.0,65584,131180
synthetic_noise,bsc,0.0,50,1,16.768891644360977,0.8766829435621992,2.0039343192914147,0.7328926000000013,0.2273260999999991,0.2174183000000003,0.00376649999999934,6.923331899999999,0.511357799999999,0.0,0.0,784888,1569788
synthetic_nature,bsc,0.0,90,1,48.868770471478,0.99478220476724,8.404565468302483,0.2549701999999989,0.02326230000000251,0.03142589999999856,0.0009647000000008177,1.4388077999999993,0.5952943999999967,0.0,0.0,187144,374300
synthetic_geometric,bsc,0.0,90,1,45.280790064546835,0.9927041627282011,14.708461135632527,0.22489060000000194,0.011381399999997655,0.015331400000000883,0.00040729999999911115,0.826583099999997,0.45702,0.0,0.0,106936,213884
synthetic_gradient,bsc,0.0,90,1,55.20071739817696,0.9973214293602456,16.096937940068774,0.2189867000000021,0.01091419999999843,0.01326180000000221,0.00044189999999844076,0.8278087000000021,0.5349229999999991,0.0,0.0,97712,195436
synthetic_noise,bsc,0.0,90,1,29.989860150824082,0.9937565187221153,0.9429188048534842,0.4894148999999999,0.19867949999999723,0.24665790000000243,0.00558149999999813,14.438753000000002,0.9391253000000006,0.0,0.0,1668080,3336172
synthetic_nature,bsc,0.01,10,1,12.35826857801441,0.4459422562421489,28.887452248016455,0.20717540000000412,0.004898699999998257,0.006054800000001137,0.007216999999997142,0.38436759999999737,0.09857190000000315,0.009913853236607142,0.010523802527181898,54448,108908
synthetic_geometric,bsc,0.01,10,1,12.85483546136007,0.554871929689574,32.88859150217464,0.19517629999999997,0.005224900000001753,0.005725499999996941,0.005919600000005687,0.3488555000000062,0.10500330000000702,0.010060628255208334,0.011186851789896287,47824,95660
synthetic_gradient,bsc,0.01,10,1,12.980223223590588,0.5068369105417373,35.08351177730193,0.18541259999999937,0.003968299999996816,0.005392499999999245,0.005163500000001875,0.3343405999999973,0.10351279999999718,0.010031960227272728,0.01101891506067095,44832,89676
synthetic_noise,bsc,0.01,10,1,7.79574341557209,0.17230565937589146,10.870728740462235,0.21316209999999813,0.015932800000001635,0.021038900000000638,0.02119559999999865,1.0862859,0.21746949999999998,0.010087754991319444,0.01066432599800951,144688,289388
synthetic_nature,bsc,0.01,50,1,11.127327117165198,0.3728140012236274,15.718580108730412,0.21756969999999853,0.009372300000002554,0.014852099999998813,0.014414899999998454,0.7397174000000035,0.23542869999999994,0.009892578125,0.011042932523185162,100064,200140
synthetic_geometric,bsc,0.01,50,1,12.086350509654464,0.5948327505497921,24.736789129340714,0.21720050000000413,0.007358800000005772,0.008731099999998548,0.007153700000003482,0.4460831999999968,0.22574430000000234,0.0097808837890625,0.011370785103170609,63584,127180
synthetic_gradient,bsc,0.01,50,1,14.29557769350626,0.6002814134122264,23.982434740180533,0.20541739999999464,0.006072400000000755,0.00833220000000523,0.009587399999993806,0.4760863999999998,0.25602500000000106,0.009844611672794117,0.010459868260551354,65584,131180
synthetic_noise,bsc,0.01,50,1,6.339997655529579,0.13072402191501784,2.0039343192914147,0.34265269999999504,0.09345680000000556,0.11239179999999749,0.11060159999999541,6.3036334999999895,0.40066879999999827,0.009931564331054688,0.01050213533650661,784888,1569788
synthetic_nature,bsc,0.01,90,1,12.251887498826859,0.2957236613892233,8.404565468302483,0.2193539999999956,0.020922099999999944,0.025832899999997494,0.02782810000000069,1.3860922000000002,0.5582897999999972,0.01005753226902174,0.010767109819176677,187144,374300
synthetic_geometric,bsc,0.01,90,1,12.080523828301184,0.48111910250002815,14.708461135632527,0.20553010000000427,0.010923900000001652,0.01608230000000077,0.014989800000002163,0.824598800000004,0.4525732999999974,0.009905779803240741,0.011025286152465025,106936,213884
synthetic_gradient,bsc,0.01,90,1,14.567832259868103,0.5011763027971963,16.096937940068774,0.19991410000000087,0.011247099999998511,0.01389379999999818,0.013106000000000506,0.7172097999999991,0.5083939000000015,0.009806315104166666,0.010449074832159816,97712,195436
synthetic_noise,bsc,0.01,90,1,6.570509555603933,0.0910426288851437,0.9429188048534842,0.4992463000000029,0.19303529999999824,0.2352283999999969,0.23151229999999856,13.3744588,0.8809842000000003,0.009935566023284314,0.011157738237974198,1668080,3336172
synthetic_nature,bsc,0.05,10,1,7.912188579922482,0.12411843647542237,28.887452248016455,0.23455090000000212,0.005733500000005165,0.007669399999997495,0.006313700000006861,0.38703590000000077,0.10128589999999349,0.04945591517857143,0.051939465177784305,54448,108908
synthetic_geometric,bsc,0.05,10,1,8.085708192937044,0.167869217445111,32.88859150217464,0.19785459999999944,0.004640999999992346,0.005380400000007057,0.00648320000000524,0.33792390000000694,0.10226830000000575,0.049418131510416664,0.053487788558046166,47824,95660
synthetic_gradient,bsc,0.05,10,1,8.221791069049738,0.15268379544579322,35.08351177730193,0.1857114000000024,0.0038161000000087597,0.005231399999999553,0.004823500000000536,0.33174750000000586,0.10660409999999843,0.04953835227272727,0.049964311206281226,44832,89676
